ActionID,TopicNumber,RepresentationList
38,73,"[0, 1, 2, 3, 4, 7, 8, 9, 10, 11, 19]"
1,74,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19]"
15,75,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 19]"
3,76,"[0, 1, 2]"
37,76,"[3, 8, 9, 13, 14, 15, 16, 17, 18, 19]"
0,77,[9]
7,78,"[3, 4, 8, 10, 11, 12, 13, 14, 15, 16, 19]"
0,79,[14]
32,79,"[4, 5, 6, 16, 19]"
16,80,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 17, 18]"
11,81,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
3,82,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19]"
77,83,"[0, 1, 4, 5, 6, 8, 9, 10, 11, 12]"
